cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,sum_kzt_boundary,dominant_role,dominant_role_count,mean_cluster_stability,n_fifo_1d_80
0,276,1,29434695.389999993,100000004070318100|100000006866783100|100000008477350100|100000004400305100|100000000437046100,Гипотеза для проверки: профиль=terminal 48/276; seed=1; internal=29434695 KZT; FIFO>=80%: 32,12443509.89,terminal,48,0.9022509281710185,32
14,41,3,4888834.28,100000004156082100|100000005339662100|100000008418835100|100000008188026100|100000000076451100,Гипотеза для проверки: профиль=terminal 10/41; seed=3; internal=4888834 KZT; FIFO>=80%: 6,570089.0,terminal,10,0.9130053917263912,6
15,41,0,5151924.1899999995,100000008512552100|100000003242289100|100000008413748100|100000006225798100|100000003178549100,Гипотеза для проверки: профиль=terminal 7/41; seed=0; internal=5151924 KZT; FIFO>=80%: 4,1580775.3,terminal,7,0.9944444444444446,4
16,30,1,6513430.0,100000008546855100|100000003854444100|100000001049200100|100000003873332100|100000007594394100,Гипотеза для проверки: профиль=terminal 11/30; seed=1; internal=6513430 KZT; FIFO>=80%: 5,583242.0,terminal,11,1.0,5
17,26,14,2289450.0,100000004403675100|100000005382566100|100000008254069100|100000004041163100|100000008516839100,Гипотеза для проверки: профиль=coordinator 1/26; seed=14; internal=2289450 KZT; FIFO>=80%: 4,305175.0,coordinator,1,1.0,4
18,25,0,7556605.0,100000008743913100|100000008710843100|100000008758168100|100000001887715100|100000002748532100,Гипотеза для проверки: профиль=terminal 9/25; seed=0; internal=7556605 KZT; FIFO>=80%: 4,1878409.0,terminal,9,0.946236559139785,4
19,20,0,617900.0,100000003154105100|100000000723383100|100000001427082100|100000002448088100|100000002185328100,Гипотеза для проверки: профиль=transit 2/20; seed=0; internal=617900 KZT; FIFO>=80%: 1,16800.0,transit,2,1.0,1
20,18,0,3422800.0,100000003701161100|100000008137435100|100000002267998100|100000003718221100|100000004580202100,Гипотеза для проверки: профиль=terminal 4/18; seed=0; internal=3422800 KZT; FIFO>=80%: 1,353409.0,terminal,4,1.0,1
21,17,1,21586840.0,100000002224132100|100000003835149100|100000001965374100|100000005664922100|100000000594783100,Гипотеза для проверки: профиль=terminal 3/17; seed=1; internal=21586840 KZT; FIFO>=80%: 1,17000.0,terminal,3,1.0,1
22,17,1,2977887.0,100000002731501100|100000004160650100|100000004007116100|100000003616818100|100000004005964100,Гипотеза для проверки: профиль=terminal 4/17; seed=1; internal=2977887 KZT; FIFO>=80%: 1,0.0,terminal,4,1.0,1
23,15,0,850450.0,100000005505655100|100000001526235100|100000001788284100|100000002472632100|100000000860514100,Гипотеза для проверки: профиль=distributor 1/15; seed=0; internal=850450 KZT; FIFO>=80%: 2,13070.0,distributor,1,1.0,2
24,15,0,3626010.0,100000008461532100|100000000791285100|100000006704530100|100000003470579100|100000003122817100,Гипотеза для проверки: профиль=terminal 3/15; seed=0; internal=3626010 KZT; FIFO>=80%: 2,5300.0,terminal,3,1.0,2
25,15,0,3436955.0,100000002152857100|100000004221668100|100000003111305100|100000006240939100|100000002459093100,Гипотеза для проверки: профиль=transit 4/15; seed=0; internal=3436955 KZT; FIFO>=80%: 3,731373.0,transit,4,0.7624527112232029,3
26,14,0,1605604.0,100000007382543100|100000008213966100|100000003001661100|100000000838385100|100000004407753100,Гипотеза для проверки: профиль=transit 1/14; seed=0; internal=1605604 KZT; FIFO>=80%: 1,31000.0,transit,1,0.9739583333333336,1
27,13,1,1392916.0,100000001380054100|100000006232815100|100000000703894100|100000005077484100|100000003164661100,Гипотеза для проверки: профиль=terminal 2/13; seed=1; internal=1392916 KZT; FIFO>=80%: 0,0.0,terminal,2,1.0,0
28,13,0,6748650.0,100000007442518100|100000000673868100|100000008258083100|100000002911170100|100000002454724100,Гипотеза для проверки: профиль=terminal 6/13; seed=0; internal=6748650 KZT; FIFO>=80%: 0,494999.0,terminal,6,1.0,0
29,11,0,3784703.0,100000003004487100|100000002175422100|100000003557488100|100000001317336100|100000002975437100,Гипотеза для проверки: профиль=terminal 2/11; seed=0; internal=3784703 KZT; FIFO>=80%: 1,68702.8,terminal,2,1.0,1
30,10,0,1929434.85,100000007639767100|100000002741024100|100000007629096100|100000001439416100|100000008680912100,Гипотеза для проверки: профиль=transit 2/10; seed=0; internal=1929435 KZT; FIFO>=80%: 2,606862.0,transit,2,0.6176384992442676,2
31,10,0,322010.0,100000008172352100|100000007322059100|100000004552204100|100000001597505100|100000002628146100,Гипотеза для проверки: профиль=terminal 2/10; seed=0; internal=322010 KZT; FIFO>=80%: 0,103185.0,terminal,2,1.0,0
32,10,0,1727065.0,100000004076740100|100000004017410100|100000005519998100|100000004336312100|100000005767403100,Гипотеза для проверки: профиль=transit 2/10; seed=0; internal=1727065 KZT; FIFO>=80%: 0,54250.0,transit,2,0.9635416666666666,0
33,9,0,1406982.0,100000002217161100|100000001445848100|100000007647294100|100000008254576100|100000002242066100,Гипотеза для проверки: профиль=terminal 1/9; seed=0; internal=1406982 KZT; FIFO>=80%: 0,52900.0,terminal,1,1.0,0
34,8,0,2473417.91,100000004906181100|100000008175078100|100000008675322100|100000000557536100|100000008349740100,Гипотеза для проверки: профиль=transit 1/8; seed=0; internal=2473418 KZT; FIFO>=80%: 1,100000.0,transit,1,1.0,1
35,8,0,389000.0,100000005507142100|100000002612809100|100000005264874100|100000000600707100|100000004066370100,Гипотеза для проверки: профиль=peripheral 8/8; seed=0; internal=389000 KZT; FIFO>=80%: 0,23000.0,peripheral,8,1.0,0
36,7,0,143000.0,100000000507799100|100000005911352100|100000004508696100|100000002217806100|100000004549591100,Гипотеза для проверки: профиль=transit 1/7; seed=0; internal=143000 KZT; FIFO>=80%: 1,5132.0,transit,1,1.0,1
37,7,0,3077000.0,100000002241986100|100000001053894100|100000002594214100|100000004047887100|100000001286703100,Гипотеза для проверки: профиль=peripheral 7/7; seed=0; internal=3077000 KZT; FIFO>=80%: 0,280000.0,peripheral,7,1.0,0
38,7,3,4442461.0,100000008637537100|100000001732159100|100000008314203100|100000003404627100|100000002681449100,Гипотеза для проверки: профиль=consolidator 1/7; seed=3; internal=4442461 KZT; FIFO>=80%: 0,268338.0,consolidator,1,0.6334978070175438,0
39,7,0,1765600.0,100000007392365100|100000007865484100|100000008551752100|100000003631015100|100000006351075100,Гипотеза для проверки: профиль=peripheral 7/7; seed=0; internal=1765600 KZT; FIFO>=80%: 0,9613.0,peripheral,7,1.0,0
40,7,0,1268308.0,100000008011159100|100000006169033100|100000006232642100|100000003664994100|100000005754335100,Гипотеза для проверки: профиль=peripheral 7/7; seed=0; internal=1268308 KZT; FIFO>=80%: 0,42000.0,peripheral,7,1.0,0
41,6,1,1615030.0,100000008659445100|100000008736940100|100000008193577100|100000008751429100|100000005456919100,Гипотеза для проверки: профиль=transit 1/6; seed=1; internal=1615030 KZT; FIFO>=80%: 2,0.0,transit,1,1.0,2
42,6,1,1527967.0,100000000580561100|100000007939160100|100000005183943100|100000003888271100|100000007930878100,Гипотеза для проверки: профиль=terminal 1/6; seed=1; internal=1527967 KZT; FIFO>=80%: 0,0.0,terminal,1,1.0,0
43,6,0,2540000.0,100000004479404100|100000004717647100|100000002922000100|100000002659103100|100000001533161100,Гипотеза для проверки: профиль=peripheral 6/6; seed=0; internal=2540000 KZT; FIFO>=80%: 0,12000.0,peripheral,6,1.0,0
44,6,1,275885.0,100000005485830100|100000005895525100|100000002462183100|100000005056870100|100000007175718100,Гипотеза для проверки: профиль=terminal 2/6; seed=1; internal=275885 KZT; FIFO>=80%: 0,0.0,terminal,2,1.0,0
45,6,0,2534500.0,100000003747133100|100000004722765100|100000005075949100|100000002578653100|100000006527156100,Гипотеза для проверки: профиль=transit 1/6; seed=0; internal=2534500 KZT; FIFO>=80%: 0,237068.0,transit,1,1.0,0
46,6,0,720900.0,100000008761219100|100000007472293100|100000006638021100|100000008333492100|100000002794374100,Гипотеза для проверки: профиль=peripheral 6/6; seed=0; internal=720900 KZT; FIFO>=80%: 0,55000.0,peripheral,6,0.9495967741935484,0
47,6,1,383300.0,100000005546031100|100000004094958100|100000005547096100|100000004331458100|100000005363908100,Гипотеза для проверки: профиль=transit 2/6; seed=1; internal=383300 KZT; FIFO>=80%: 2,0.0,transit,2,1.0,2
48,5,0,1189154.0,100000000291906100|100000004670388100|100000000291908100|100000004722630100|100000004691350100,Гипотеза для проверки: профиль=transit 2/5; seed=0; internal=1189154 KZT; FIFO>=80%: 1,8000.0,transit,2,1.0,1
49,5,0,172000.0,100000005031696100|100000004659919100|100000001223977100|100000002700161100|100000008461217100,Гипотеза для проверки: профиль=peripheral 5/5; seed=0; internal=172000 KZT; FIFO>=80%: 0,5000.0,peripheral,5,1.0,0
50,5,0,338950.0,100000004715209100|100000008190411100|100000003133045100|100000004747154100|100000001498732100,Гипотеза для проверки: профиль=transit 1/5; seed=0; internal=338950 KZT; FIFO>=80%: 1,16500.0,transit,1,0.8433877927711325,1
51,5,1,2809200.0,100000004135268100|100000008571433100|100000004979498100|100000002738256100|100000007507343100,Гипотеза для проверки: профиль=transit 3/5; seed=1; internal=2809200 KZT; FIFO>=80%: 4,0.0,transit,3,1.0,4
52,5,2,108007.0,100000006562026100|100000006249740100|100000007347733100|100000008129393100|100000006831291100,Гипотеза для проверки: профиль=terminal 1/5; seed=2; internal=108007 KZT; FIFO>=80%: 0,0.0,terminal,1,1.0,0
53,4,0,518000.0,100000002205022100|100000000629812100|100000003163886100|100000001380107100,Гипотеза для проверки: профиль=terminal 1/4; seed=0; internal=518000 KZT; FIFO>=80%: 0,17100.0,terminal,1,1.0,0
54,4,1,1404980.0,100000001872484100|100000008601794100|100000000785800100|100000002459163100,Гипотеза для проверки: профиль=transit 1/4; seed=1; internal=1404980 KZT; FIFO>=80%: 1,0.0,transit,1,1.0,1
55,4,0,1595700.0,100000001052945100|100000001131403100|100000004616845100|100000005146665100,Гипотеза для проверки: профиль=peripheral 4/4; seed=0; internal=1595700 KZT; FIFO>=80%: 0,56520.0,peripheral,4,1.0,0
56,4,0,832800.0,100000003159641100|100000008625905100|100000001065234100|100000002194320100,Гипотеза для проверки: профиль=peripheral 4/4; seed=0; internal=832800 KZT; FIFO>=80%: 0,64000.0,peripheral,4,0.6617025562147514,0
57,4,1,79050.0,100000003148220100|100000004971871100|100000006888238100|100000001852140100,Гипотеза для проверки: профиль=peripheral 4/4; seed=1; internal=79050 KZT; FIFO>=80%: 0,0.0,peripheral,4,1.0,0
58,4,0,332709.0,100000002513028100|100000004610802100|100000002516862100|100000004780083100,Гипотеза для проверки: профиль=peripheral 4/4; seed=0; internal=332709 KZT; FIFO>=80%: 0,9500.0,peripheral,4,1.0,0
59,3,1,450000.0,100000002371751100|100000000769919100|100000007018630100,Гипотеза для проверки: профиль=terminal 1/3; seed=1; internal=450000 KZT; FIFO>=80%: 0,0.0,terminal,1,1.0,0
60,3,0,553830.0,100000003321895100|100000003692843100|100000002371892100,Гипотеза для проверки: профиль=peripheral 3/3; seed=0; internal=553830 KZT; FIFO>=80%: 0,24000.0,peripheral,3,0.8138586956521738,0
61,3,1,390167.62,100000002781227100|100000002796853100|100000008522127100,Гипотеза для проверки: профиль=transit 2/3; seed=1; internal=390168 KZT; FIFO>=80%: 1,13420.0,transit,2,0.9389097744360902,1
62,3,0,1557988.0,100000008258458100|100000004035925100|100000008619159100,Гипотеза для проверки: профиль=transit 1/3; seed=0; internal=1557988 KZT; FIFO>=80%: 1,19000.0,transit,1,1.0,1
63,3,1,450816.0,100000004388983100|100000005034574100|100000007283257100,Гипотеза для проверки: профиль=terminal 2/3; seed=1; internal=450816 KZT; FIFO>=80%: 0,0.0,terminal,2,1.0,0
64,3,0,627870.0,100000008628231100|100000005664632100|100000004666651100,Гипотеза для проверки: профиль=terminal 2/3; seed=0; internal=627870 KZT; FIFO>=80%: 0,50000.0,terminal,2,1.0,0
65,2,0,761255.0,100000000583220100|100000004586598100,Гипотеза для проверки: профиль=peripheral 2/2; seed=0; internal=761255 KZT; FIFO>=80%: 0,5000.0,peripheral,2,1.0,0
66,2,1,30000.0,100000003980083100|100000003200071100,Гипотеза для проверки: профиль=peripheral 2/2; seed=1; internal=30000 KZT; FIFO>=80%: 0,0.0,peripheral,2,1.0,0
67,2,1,81465.0,100000003865939100|100000005392290100,Гипотеза для проверки: профиль=terminal 1/2; seed=1; internal=81465 KZT; FIFO>=80%: 0,0.0,terminal,1,1.0,0
68,2,0,584900.0,100000008430691100|100000007330432100,Гипотеза для проверки: профиль=transit 1/2; seed=0; internal=584900 KZT; FIFO>=80%: 1,40000.0,transit,1,0.7509057971014492,1
69,2,0,857500.0,100000008324800100|100000007390016100,Гипотеза для проверки: профиль=transit 1/2; seed=0; internal=857500 KZT; FIFO>=80%: 0,180000.0,transit,1,1.0,0
70,1,1,0.0,100000000456947100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
71,1,1,0.0,100000003265658100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
72,1,1,0.0,100000003349739100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
73,1,1,0.0,100000003770083100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
74,1,1,0.0,100000004021459100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
75,1,1,0.0,100000004174835100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
76,1,1,0.0,100000005017150100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
77,1,1,0.0,100000005087431100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
78,1,1,0.0,100000005235389100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
79,1,1,0.0,100000005480435100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
80,1,1,0.0,100000005495722100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
81,1,1,0.0,100000005550592100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
82,1,1,0.0,100000005560900100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
83,1,1,0.0,100000005568407100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
84,1,1,0.0,100000008117324100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
85,1,1,0.0,100000008205000100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
86,1,1,0.0,100000008513251100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
87,1,1,0.0,100000008669037100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
88,1,1,0.0,100000008701222100,Гипотеза для проверки: профиль=peripheral 1/1; seed=1; internal=0 KZT; FIFO>=80%: 0,0.0,peripheral,1,1.0,0
